1,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0
1,2,3,0,0,0,0,0
1,2,3,4,0,0,0,0
2,3,4,5,0,0,0,0
1,2,6,4,0,0,0,0
2,5,6,7,0,0,0,0
1,5,7,8,0,0,0,0
3,7,6,9,0,0,0,0
1,2,9,10,0,0,0,0
2,5,6,8,11,0,0,0
7,10,12,6,9,0,0,0
1,7,13,10,12,0,0,0
2,5,14,6,8,13,0,0
1,11,15,9,10,14,0,0
3,12,16,8,9,14,0,0
1,5,17,9,10,14,0,0
11,12,18,10,15,17,0,0
3,16,19,4,6,15,0,0
1,2,20,9,10,14,0,0
5,13,21,14,19,20,0,0
6,16,22,9,16,21,0,0
1,13,17,23,9,12,18,0
2,5,10,24,14,20,21,0
3,6,17,25,10,19,24,0
1,9,11,26,18,19,22,0
13,17,23,27,22,25,26,0
1,11,12,28,9,20,26,0
7,10,17,29,25,26,28,0
1,2,3,10,14,20,26,30
